category_id,meta,category,type,pod
10000000,10,Bank Fees,special,bf
10001000,10,"Bank Fees,Overdraft",special,bf
10002000,10,"Bank Fees,ATM",special,bf
10003000,10,"Bank Fees,Late Payment",special,bf
10004000,10,"Bank Fees,Fraud Dispute",special,bf
10005000,10,"Bank Fees,Foreign Transaction",special,bf
10006000,10,"Bank Fees,Wire Transfer",special,bf
10007000,10,"Bank Fees,Insufficient Funds",special,bf
10008000,10,"Bank Fees,Cash Advance",special,bf
10009000,10,"Bank Fees,Excess Activity",special,bf
11000000,11,Cash Advance,special,
12000000,12,Community,place,
12001000,12,"Community,Animal Shelter",place,
12002000,12,"Community,Assisted Living Services",place,
12002001,12,"Community,Assisted Living Services,Facilities and Nursing Homes",place,
12002002,12,"Community,Assisted Living Services,Caretakers",place,
12003000,12,"Community,Cemetery",place,
12004000,12,"Community,Courts",place,
12005000,12,"Community,Day Care and Preschools",place,
12006000,12,"Community,Disabled Persons Services",place,
12007000,12,"Community,Drug and Alcohol Services",place,
12008000,12,"Community,Education",place,
12008001,12,"Community,Education,Vocational Schools",place,
12008002,12,"Community,Education,Tutoring and Educational Services",place,
12008003,12,"Community,Education,Primary and Secondary Schools",place,
12008004,12,"Community,Education,Fraternities and Sororities",place,
12008005,12,"Community,Education,Driving Schools",place,
12008006,12,"Community,Education,Dance Schools",place,
12008007,12,"Community,Education,Culinary Lessons and Schools",place,
12008008,12,"Community,Education,Computer Training",place,
12008009,12,"Community,Education,Colleges and Universities",place,
12008010,12,"Community,Education,Art School",place,
12008011,12,"Community,Education,Adult Education",place,
12009000,12,"Community,Government Departments and Agencies",place,
12010000,12,"Community,Government Lobbyists",place,
12011000,12,"Community,Housing Assistance and Shelters",place,
12012000,12,"Community,Law Enforcement",place,
12012001,12,"Community,Law Enforcement,Police Stations",place,
12012002,12,"Community,Law Enforcement,Fire Stations",place,
12012003,12,"Community,Law Enforcement,Correctional Institutions",place,
12013000,12,"Community,Libraries",place,
12014000,12,"Community,Military",place,
12015000,12,"Community,Organizations and Associations",place,
12015001,12,"Community,Organizations and Associations,Youth Organizations",place,
12015002,12,"Community,Organizations and Associations,Environmental",place,
12015003,12,"Community,Organizations and Associations,Charities and Non-Profits",place,
12016000,12,"Community,Post Offices",place,
12017000,12,"Community,Public and Social Services",place,
12018000,12,"Community,Religious",place,
12018001,12,"Community,Religious,Temple",place,
12018002,12,"Community,Religious,Synagogues",place,
12018003,12,"Community,Religious,Mosques",place,
12018004,12,"Community,Religious,Churches",place,
12019000,12,"Community,Senior Citizen Services",place,
12019001,12,"Community,Senior Citizen Services,Retirement",place,
13000000,13,Food and Drink,place,eo
13001000,13,"Food and Drink,Bar",place,eo
13001001,13,"Food and Drink,Bar,Wine Bar",place,eo
13001002,13,"Food and Drink,Bar,Sports Bar",place,eo
13001003,13,"Food and Drink,Bar,Hotel Lounge",place,eo
13002000,13,"Food and Drink,Breweries",place,eo
